01/01/2022 06:49:09:  Wallbox was deactivated;    Reason: Manual command
01/01/2022 06:53:47:  Wallbox was activated;    Reason: Manual command
01/01/2022 07:59:46:  Wallbox was activated;    Reason: Treshold reached
01/01/2022 08:05:11:  Wallbox was deactivated;    Reason: Treshold reached
01/01/2022 08:31:53:  Wallbox was activated;    Reason: Manual command
01/01/2022 15:40:07:  Auto mode enabled;    Reason: Manual command
01/01/2022 16:33:27:  Wallbox was activated;    Reason: Treshold reached
01/01/2022 16:40:12:  Wallbox was activated;    Reason: Treshold reached
01/01/2022 16:45:09:  Wallbox was activated;    Reason: Treshold reached
01/01/2022 16:50:27:  Wallbox was activated;    Reason: Manual command
01/01/2022 16:50:57:  Wallbox was deactivated;    Reason: Manual command
01/01/2022 17:00:52:  Wallbox was activated;    Reason: Manual command
01/01/2022 17:01:56:  Wallbox was deactivated;    Reason: Manual command
01/01/2022 17:03:10:  Auto mode enabled;    Reason: Manual command
01/01/2022 17:05:09:  Wallbox was activated;    Reason: Treshold reached
01/01/2022 17:13:15:  Wallbox was activated;    Reason: Manual command
01/01/2022 17:15:25:  Wallbox was deactivated;    Reason: Manual command
01/01/2022 17:16:02:  Auto mode enabled;    Reason: Manual command
01/01/2022 17:18:20:  Auto mode enabled;    Reason: Manual command
01/01/2022 17:18:27:  Auto mode enabled;    Reason: Manual command
01/01/2022 17:19:18:  Auto mode enabled;    Reason: Manual command
01/01/2022 17:20:09:  Wallbox was activated;    Reason: Treshold reached
01/01/2022 17:20:13:  Auto mode enabled;    Reason: Manual command
01/01/2022 17:24:42:  Wallbox was deactivated;    Reason: Manual command
01/01/2022 17:27:59:  Wallbox was activated;    Reason: Manual command
01/01/2022 17:28:20:  Wallbox was deactivated;    Reason: Manual command
01/01/2022 17:28:52:  Auto mode enabled;    Reason: Manual command
01/01/2022 17:29:00:  Wallbox was activated;    Reason: Treshold reached
01/01/2022 17:31:48:  Wallbox was deactivated;    Reason: Manual command
01/01/2022 17:32:04:  Wallbox was activated;    Reason: Manual command
01/01/2022 17:34:09:  Wallbox was deactivated;    Reason: Manual command
01/01/2022 17:34:51:  Wallbox was activated;    Reason: Manual command
01/01/2022 17:36:09:  Auto mode enabled;    Reason: Manual command
01/01/2022 17:36:30:  Wallbox was deactivated;    Reason: Manual command
01/01/2022 17:36:39:  Auto mode enabled;    Reason: Manual command
01/01/2022 17:36:47:  Wallbox was activated;    Reason: Treshold reached
01/01/2022 21:17:06:  Wallbox was activated;    Reason: Manual command
01/01/2022 21:17:37:  Auto mode enabled;    Reason: Manual command
01/01/2022 21:20:10:  Wallbox was deactivated;    Reason: Treshold reached
01/01/2022 21:24:11:  Wallbox was activated;    Reason: Manual command
01/01/2022 21:24:35:  Wallbox was deactivated;    Reason: Manual command
01/01/2022 21:24:58:  Wallbox was activated;    Reason: Manual command
01/01/2022 21:36:43:  Wallbox was activated;    Reason: Manual command
01/01/2022 21:37:06:  Wallbox was activated;    Reason: Manual command
01/01/2022 21:37:48:  Wallbox was activated;    Reason: Manual command
01/01/2022 21:38:23:  Wallbox was activated;    Reason: Manual command
02/01/2022 16:31:46:  Wallbox was deactivated;    Reason: Manual command
02/01/2022 16:33:33:  Wallbox was activated;    Reason: Manual command
02/01/2022 16:40:28:  Wallbox was deactivated;    Reason: Manual command
02/01/2022 16:41:40:  Wallbox was activated;    Reason: Manual command
